,phi,grid,T_in,P,blend,fuel,flame_speed,oxidizer.O2,oxidizer.N2
0,1.270049456,42,297.3016611,102071.3232,0.2NH3,"CH4: 0.612351787, NH3: 0.387648236",0.15969244113732828,0.21,0.79
0,1.299417509,41,297.8965347,102071.3232,0.2NH3,"CH4: 0.612351787, NH3: 0.387648237",0.14424908585200125,0.21,0.79
0,1.270049456,42,297.3016611,102071.3232,0.2NH3,"CH4: 0.612351787, NH3: 0.387648236",0.15969244113732828,0.21,0.79
0,1.299417509,41,297.8965347,102071.3232,0.2NH3,"CH4: 0.612351787, NH3: 0.387648237",0.14424908585200125,0.21,0.79
0,1.270049456,42,297.3016611,102071.3232,0.2NH3,"CH4: 0.612351787, NH3: 0.387648236",0.15969244113732828,0.21,0.79
0,1.299417509,41,297.8965347,102071.3232,0.2NH3,"CH4: 0.612351787, NH3: 0.387648237",0.14424908585200125,0.21,0.79
0,1.270049456,42,297.3016611,102071.3232,0.2NH3,"CH4: 0.612351787, NH3: 0.387648236",0.15969244113732828,0.21,0.79
0,1.299417509,41,297.8965347,102071.3232,0.2NH3,"CH4: 0.612351787, NH3: 0.387648237",0.14424908585200125,0.21,0.79
0,1.270049456,42,297.3016611,102071.3232,0.2NH3,"CH4: 0.612351787, NH3: 0.387648236",0.15969244113732828,0.21,0.79
0,1.299417509,41,297.8965347,102071.3232,0.2NH3,"CH4: 0.612351787, NH3: 0.387648237",0.14424908585200125,0.21,0.79
